tanggal_penyampaian,jenis_laporan,tahun_laporan,bidang,lembaga,unit_kerja,nama,jabatan,nhk,harta_tanah_dan_bangunan,harta_alat_transportasi_dan_mesin,harta_bergerak_lainnya,surat_berharga,harta_kas_dan_setara_kas,harta_lainnya,sub_total,hutang,total_harta_kekayaan
23 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL ANGGARAN,ISA RACHMATARWATA,DIREKTUR JENDERAL,87320,8015000000,800000000,325357000,14053425949,10185265478,2232238059,35611286486,274981566,35336304920
7 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,DIREKTORAT JENDERAL PERENCANAAN PERTAHANAN,SUPO DWI DIANTARA,DIREKTUR JENDERAL,801629,4266050000,549500000,31100000,-,1346644545,-,6193294545,-,6193294545
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,DIREKTORAT JENDERAL PEMBINAAN PENEMPATAN TENAGA KERJA DAN PERLUASAN KESEMPATAN KERJA,SUHARTONO,DIREKTUR JENDERAL,163982,2729718000,93000000,5950000,-,35000000,-,2863668000,95800000,2767868000
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,PIMPINAN TERTINGGI,NADIEM ANWAR MAKARIM,MENTERI PENDIDIKAN DAN KEBUDAYAAN,712194,50981969850,2663582550,752313000,1301421294168,14235550563,3198004000,1373252714131,180827196248,1192425517883
16 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,DIREKTORAT JENDERAL KEKUATAN PERTAHANAN,BAMBANG IRWANTO,DIREKTUR JENDERAL,403977,5000000000,215000000,1840000000,-,1879347529,-,8934347529,20000000,8914347529
5 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,SEKRETARIAT JENDERAL,ANDI ONY PRIHARTONO,KEPALA BIRO ADMINISTRASI PIMPINAN,241379,2611189000,75000000,70070000,-,12648208,-,2768907208,937337837,1831569371
8 Maret 2022,Periodik,2021,EKSEKUTIF,KANTOR WAKIL PRESIDEN,WAKIL PIMPINAN PEMERINTAHAN,K.H. MA'RUF AMIN,WAKIL PRESIDEN REPUBLIK INDONESIA,12352,7423900000,577000000,256000000,-,4448025181,-,12704925181,-,12704925181
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL SUMBER DAYA DAN PERANGKAT POS DAN INFORMATIKA,WAYAN TONI SUPRIYANTO,KUASA PENGGUNA ANGGARAN,143263,6641000000,190500000,192202465,3087626802,1583158897,592375029,12286863193,-,12286863193
17 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,BADAN STRATEGI KEBIJAKAN DALAM NEGERI,YUSHARTO HUNTOYUNGO,KEPALA BADAN,218333,4501376000,522000000,87000000,1070000000,27123575,-,6207499575,-,6207499575
26 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,SEKRETARIAT JENDERAL,BAYU TEJA MULIAWAN,KEPALA BIRO,208653,7401276000,506318000,176061700,172292995,524006396,-,8779955091,520511164,8259443927
24 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL BINA ADMINISTRASI KEWILAYAHAN,SAFRIZAL ZA,DIREKTUR JENDERAL,510669,3300000000,485500000,71550000,1627921864,6470622012,655000000,12610593876,-,12610593876
22 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,PIMPINAN TERTINGGI,IDA FAUZIYAH,MENTERI KETENAGAKERJAAN,474,10838000000,1610500000,186700000,-,4452725557,-,17087925557,-,17087925557
14 September 2022,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,WAKIL PIMPINAN,AFRIANSYAH NOOR,WAKIL MENTERI,870330,17000000000,1175000000,1525000000,100000000,2730000000,-,22530000000,870000000,21660000000
